Name,Phone Number,Address,Website,Maps Link
"Siomai King Food Cart Marinduque","7545436","GT 168 Mall Brgy, CRWH+8R5, Purok 5 Santol, Boac, 4900 Marinduque, Philippines","N/A",""
"Food vendor","0927 036 3273","Malusak, Boac, 4900 Marinduque, Philippines","N/A",""
"Marinduque Food Center and Restaurant","0918 349 2601","CRXR+834, Lordizabal Street, Boac, Marinduque, Philippines","N/A",""
"Boac Food Corner (BFC Restaurant)","0916 435 8799","Boac, Marinduque, Philippines","N/A",""
"D TREEHOUSE FOOD PARK","N/A","FR3V+H58, Boac, Marinduque, Philippines","N/A",""
"Cravings Food and Refreshment Hub","0946 563 7894","Capala, Laylay, Boac, 4900 Marinduque, Philippines","N/A",""
"Villa Negro Cafe'","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=6506910510398925613"
"Luxor Resort","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=13265268084549336033"
"Poblacion Pares","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=5546690474066634454"
"Balar Hotel and Spa","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7194322702510465361"
"Adis Resort Hotel and Restaurant","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=12622209333217455146"
"Tanawin Cafe & Glamping","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=8726517666269503102"
"Bethany Café","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=77639103383246891"
"Doña Aurora Café De tous les jours","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=1474607423442341585"
"Brewista Coffee PH","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=13325684536464595546"
"Boac Expo","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=14047107528252032574"
"Boac Public Market","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=12387061770909572785"
"Marina Marinduque Hotel and Resort","0960 586 1545","Balaring Beach Side, Boac, 4900 Marinduque, Philippines","N/A",""
"Hotel Marinduque","0949 688 5036","Pamintuan St, Isok1, Boac, 4900 Marinduque, Philippines","N/A",""
"Nine Balconies Island stay","0928 517 2593","Nepomuceno St, Boac, 4900 Marinduque, Philippines","N/A",""
"Casita Agnes Private Resort","N/A","CRM9+QP6, Sitio Capala, Barangay Laylay, Boac, Marinduque, Philippines","N/A",""
"Hotel Zenturia","0917 305 2689","2-14, 2 Magsaysay Rd, Boac, Marinduque, Philippines","N/A",""
"Tahanan sa Isok","(042) 332 1231","5 Canovas Street, CRWR+MMP, T. Roque St, Boac, 4900 Marinduque, Philippines","N/A",""
"A&B Beach Resort","(042) 754 5823","Boac - Gasan - Torrijos Rd, Boac, Marinduque, Philippines","N/A",""
"Freedom Eco Adventure Park","(042) 332 0263","9RQH+GFP, Boac, Marinduque, Philippines","N/A",""
"Villa Worth","0917 877 2017","Purok Bangus, Boac, Marinduque, Philippines","N/A",""
"The Boac Hotel","(042) 332 2065","Boac, Marinduque, Philippines","N/A",""
"Eastpoint Hotel","(042) 332 2229","CR7F+39G, Boac, Marinduque, Philippines","N/A",""
"Boac Beach Guesthouse","0921 243 2803","CRM9+QPC, Sitio Capala, Boac, 4900 Marinduque, Philippines","N/A",""
"Chateau Du Mer","(042) 332 1338","Boac, Marinduque, Philippines","N/A",""
"KASTILYO INN","0963 283 7281","Boac, 4900 Marinduque, Philippines","N/A",""
"Seaview Hotel","(042) 332 2840","Boac, Marinduque, Philippines","N/A",""
"Abby's Place Hotel","N/A","CRXQ+2JP, Boac, Marinduque, Philippines","N/A",""
"3E's Love Bay Beach Resort & Hotel","N/A","CR4G+73F, Boac, Marinduque, Philippines","N/A",""
"Villa Sathy","N/A","FR9F+H95, Boac, Marinduque, Philippines","N/A",""
"Rezidencia Faeldo Resort and Cafe","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=10104586868015763721"
"Islas Moriones Beach Resort","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=90069391948669187"
"Bellaroca Island Resort & Spa","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=10963918741595611910"
"Cavesera Residencia Farm and Resort","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=2511424571325520180"
"D' Arco Resort","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7551786822170772052"
"Wawie's Beach Resort","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=16894481310110700935"
"Guisian Cove Resort","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=2902319448716312314"
"Jethro's Hotel & Resto","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=16793157319185468853"
"Puregold Boac","Not available","CRXQ+97F, Gov D. Reyes St, Boac, 4900 Marinduque, Philippines","Not available",""
"GT168","Not available","Purok 5 Santol, Boac, 4900 Marinduque, Philippines","Not available",""
"KRM Store your one stop shop","0948 764 2148","Magsaysay Rd, Tabi, Boac, 4900 Marinduque, Philippines","Not available",""
"Monterey Store","Not available","8X4Q+FR7, Boac, Marinduque, Philippines","Not available",""
"Alicia Ong Store","(042) 332 1499","Marinduque Circumferential Road, CRWJ+PFC, Boac City, 4900 Marinduque, Philippines","Not available",""
"Magdurulan Consumer Goods Trading","0945 270 4556","Dama De Noche, Poblacion, Boac, 4901 Marinduque, Philippines","Not available",""
"Malbog buenavista","Not available","CRXQ+97F Pure gold, Boac, Marinduque, Philippines","Not available",""
"Mercury Drug Store - Marinduque Boac Governor Damian Reyes Branch","(042) 332 2505","Governor Damian, Gov D. Reyes St, Boac, 4900 Marinduque, Philippines","Not available",""
"CorBen Mini Mart","Not available","CRWQ+GHR, Magsaysay Rd, Boac, Marinduque, Philippines","Not available",""
"Oriental MINIMART","Not available","10 Magsaysay Rd, Boac, Marinduque, Philippines","Not available",""
"Lorenel's Meat Shop","Not available","3 Melendez, Boac, Marinduque, Philippines","Not available",""
"Pamilihang Bayan ng Sta. Cruz","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=14120323919633187803"
"Gasan public market","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=17395927150458870176"
"Nancy Grocery Store","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=10317631550570025665"
"Mogpog Public Market","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7825260672535682374"
"Emmart Enterprise","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=5356602376341915697"
"Happyroo","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=16986330773500663575"
"Nelita's Sari-sari Store","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=1001636456049092919"
"Apple Store","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=4931468990789799947"
"Land Bank of the Philippines - Boac Branch","(042) 311 1001","Deogracias St, Boac, Marinduque, Philippines","[Land Bank of the Philippines](https://www.landbank.com/)",""
"Philippine National Bank - Boac","(042) 332 1365","CRXQ+CC9, Gov. Damian Reyes St, Boac, 4900 Marinduque, Philippines","[Philippine National Bank](https://www.pnb.com.ph/)",""
"BDO Network Bank - Boac Branch","(042) 704 0200","10 de Octubre Street, Boac, Marinduque, Philippines","[BDO Network Bank](https://www.bdonetworkbank.com.ph/)",""
"RCBC BRANCH - BOAC","(042) 332 0319","D. REYES ST. BRGY, Boac, Marinduque, Philippines","[RCBC](https://www.rcbc.com/)",""
"BPI Direct BanKo","Not available","CRWQ+WMG, Del Mundo St, Boac, Marinduque, Philippines","[BPI Direct BanKo](https://www.banko.com.ph/)",""
"Card Bank, Inc.","0910 330 3162","Barangay Isok, Boac, CRWQ+7GV, Boac, Marinduque, Philippines","[Card Bank](https://cardbankph.com/)",""
"City Savings - Marinduque Branch Lite","(02) 8708 7087","Barangay, P Madrigal St, Malusak, Boac, 4900 Marinduque, Philippines","[City Savings Bank](https://www.citysavings.com.ph/)",""
"Philippine National Bank ATM","(042) 311 1426","CRXQ+CF6, Nepumuceno St, Boac, 4900 Marinduque, Philippines","[Philippine National Bank](https://www.pnb.com.ph/)",""
"RCBC ATM - Golden Three 168 Trading Inc.","(02) 8877 7222","CRWH+8R5 GT168, Purok 5 Santol, Boac, 4900 Marinduque, Philippines","[RCBC](https://www.rcbc.com/)",""
"Radiowealth Finance Company-Marinduque Branch","(042) 332 0246","Gov D. Reyes St, Boac, Marinduque, Philippines","Not available",""
"Michel J. Lhuillier Financial Services","(042) 311 1412","Nepomuceno Road, Mercado, CRXR+68V, Boac, 4900 Marinduque, Philippines","Not available",""
"M Lhuillier - Boac","0947 999 0522","Boac, Marinduque, Philippines","[M Lhuillier](https://mlhuillier.com/)",""
"Western Union Boac","Not available","CRXQ+2JW, Boac, Marinduque, Philippines","[Western Union](https://www.westernunion.com/)",""
"Cebuana Lhuillier Pawnshop - Boac","0910 353 1792","CORNER MERCADEN & UNO DE NOVIEMBRE STS, Boac, 4900 Marinduque, Philippines","[Cebuana Lhuillier](https://www.cebuanalhuillier.com/)",""
"MoneyGram","(048) 433 4110","MURALLON MARINDUQUE, Gov D. Reyes St, BRGY MURALLON, Boac, 4900 Marinduque, Philippines","[MoneyGram](https://www.moneygram.com/)",""
"Palawan Pawnshop","Not available","CRXQ+96M, Del Mundo St, Boac, Marinduque, Philippines","[Palawan Pawnshop](https://www.palawanpawnshop.com/)",""
"Capt. Dela Rosa Bldg.","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=6320797903263448413"
"Patrick Freelance Services","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=9147037398372819349"
"AP Cargo Boac Branch","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=10261106514154609874"
"LBC Express - Boac","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=15305157930514364682"
"1Stop Business Center Remittance Inc.","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=8679447259087500841"
"Marinduque Provincial Hospital","N/A","CRVH+F82, Boac, Marinduque, Philippines","N/A",""
"Dr. Damian J. Reyes Memorial Hospital","(042) 332 1621","CRVH+C7W, Boac, Marinduque, Philippines","N/A",""
"Holy Infant Jesus Medical and Diagnostic Clinic","(042) 311 1337","CRXQ+CP7, D. Reyes Street, San Miguel, Boac, Marinduque, Philippines","N/A",""
"Boac Municipal Health Office","(042) 311 1483","CRWR+844, T. Roque St, Boac, Marinduque, Philippines","N/A",""
"Doctor Labay Medical Clinic","(042) 753 0002","Gov. Damian Reyes St Corner, Lardizabal Street, Boac, Marinduque, Philippines","N/A",""
"Corehealth Medical Clinic","0945 755 7324","Nepomuceno Street, Boac, 4900 Marinduque, Philippines","N/A",""
"Miraculous Medal Clinic","N/A","CRWQ+2M6, Pamintuan St, Boac, Marinduque, Philippines","N/A",""
"Precision Diagnostics and Medical Clinic","(042) 332 0195","Nepomuceno St, San Miguel, Boac, 4900 Marinduque, Philippines","N/A",""
"Jimarian Medical Clinic","0931 173 5174","Purok Acacia Tanza, Boac, Marinduque, Philippines","N/A",""
"The Íle Skin MD Clinic","(042) 704 0065","Nepomuceno St, Boac, Marinduque, Philippines","N/A",""
"Orthodocs Dental Clinic","0919 932 1794","Magsaysay Rd, Boac, Marinduque, Philippines","N/A",""
"Lazarus Medical And Diagnostic Clinic","0933 825 4098","2nd Floor, Kiya's Building, Mercader St, Boac, 4900 Marinduque, Philippines","N/A",""
"URRUTIA MEDICAL AND DIAGNOSTIC CLINIC","0929 717 4557","BRGY 1 de Noviembre St, Boac, 4900 Marinduque, Philippines","N/A",""
"Ancheta Medical Clinic","0977 215 3635","Biglang Awa St, Mataas Na Bayan, Boac, 4900 Marinduque, Philippines","N/A",""
"Boac Animal Bite Center","N/A","Governor D. Reyes Street corner 10 de Oktubre Street, Boac, Marinduque, Philippines","N/A",""
"MALUBAY EYE CLINIC","N/A","CRXQ+FM5, Magsaysay Rd, Boac, Marinduque, Philippines","N/A",""
"Isentro Medical Clinic","0949 750 8960","Marinduque Circumferential Road, 3rd Floor, St. Pancratius Building, Santol, Boac, 4900 Marinduque, Philippines","N/A",""
"Dermaesthetique","0998 998 4663","9VVH+MH5, Mercado, Boac, Marinduque, Philippines","N/A",""
"Dentalign Dental Clinic","0961 645 9365","Magsaysay Rd, Boac, 4900 Marinduque, Philippines","N/A",""
"Light Psychiatric Clinic","N/A","CRXR+C54, Gov D. Reyes St, Boac, Marinduque, Philippines","N/A",""
"Watsons Pharmacy Boac","(042) 323 1816","Gov D. Reyes St, Boac, 4900 Marinduque, Philippines","N/A",""
"St. Pancratius Pharmacy","(042) 332 1017","CRVH+H7R, Marinduque Circumferential Rd, Santol, Boac, 4900 Marinduque, Philippines","N/A",""
"D'Zaimircon Pharmacy","0927 752 1250","NA, Santol, Boac, 4900 Marinduque, Philippines","N/A",""
"Jimarian Pharmacy and General Merchandise","(042) 754 2483","Purok Acacia, Tanza, Boac, 4900 Marinduque, Philippines","N/A",""
"TGP The Generics Pharmacy (Boac)","0942 452 3815","GOV. DAMIAN REYES ST., MURALLON, BOAC, MARINDUQUE, Boac, MARINDUQUE, 4900 Marinduque, Philippines","N/A",""
"Botica Infant Jesus Main & General Merchandise","(042) 332 1741","CRXQ+CP9, Damian Reyes Street, San Miguel, Boac, 4900 Marinduque, Philippines","N/A",""
"Marinduque Drug Testing Center","(042) 754 0058","CRXQ+V5W, M. Kasilag St, Boac, 4900 Marinduque, Philippines","N/A",""
"Gamot Publiko Boac","N/A","Public Market Bldg, 5b Magsaysay Rd, Boac, 4900 Marinduque, Philippines","N/A",""
"WATSONS GOV D REYES ST BOAC","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=12175813453176311756"
"Claretian Pharmacy","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=3271060467672556104"
"Gamot Publiko Mogpog","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=17521743745222200001"
"Mercury Drug Store - Marinduque Branch","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=13582031646757392406"
"J&T Express Boac-1","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=560864773395638454"
"Ipharma mart","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=17032517700720181341"
"Municipal Government of Boac","(02) 7754 0050","CRWR+MMQ, Boac, Marinduque, Philippines","N/A",""
"Public Employment Service Office - Boac","(042) 332 1011","Municipal Hall, Boac, Marinduque, FR2P+5QG, Boac, Marinduque, Philippines","N/A",""
"Marinduque Provincial Capitol","(042) 332 1002","CRRH+R4R, Boac, Marinduque, Philippines","N/A",""
"Land Transportation Office - Boac District Office","(042) 311 1526","CRRH+2F7, Boac, Marinduque, Philippines","N/A",""
"Bureau of Internal Revenue (BIR) District Office","(042) 311 1077","Queen Marla Bldg, Malusak, Boac, 4900 Marinduque, Philippines","N/A",""
"CIVIL SERVICE COMMISSION MARINDUQUE FIELD OFFICE","N/A","CRRH+584, Boac, Marinduque, Philippines","N/A",""
"Philippine Statistics Authority Marinduque","(042) 754 0024","Boac, Marinduque, Philippines","N/A",""
"Department of Agrarian Reform (DAR) - Marinduque Provincial Office","(042) 332 1287","FR5V+5X6, Tanza, Boac, Marinduque, Philippines","N/A",""
"Marinduque Provincial Police Office","(042) 754 0187","National Road, Camp Maximo Abad, Barangay Bangbangalon, FR3H+XX6, Boac, 4900 Marinduque, Philippines","N/A",""
"Provincial Statistics Office - NSO","(042) 754 0024","18, Magsaysay Street, Melendez Street, Isok I, Boac, 4900 Marinduque, Philippines","N/A",""
"Office of the Municipal Assessor - Municipality of Boac","(042) 311 1473","CRXP+VG8, Nepumuceno St, Boac, 4900 Marinduque, Philippines","N/A",""
"PhilHealth Marinduque","N/A","CRXQ+GFR, Boac, Marinduque, Philippines","N/A",""
"Department of Science and Technology (Marinduque)","(042) 332 0302","CRRH+6C5, Boac, Marinduque, Philippines","N/A",""
"MARINDUQUE PROVINCIAL INTERNAL AFFAIRS SERVICE","0961 217 2683","Camp Col, CRRH+J34, Maximo Abad, Brgy.Bangbangalon, Boac, Marinduque, Philippines","N/A",""
"Provincial Environment and Natural Resources Office - Boac","N/A","CRRH+RGV, Boac, Marinduque, Philippines","N/A",""
"Provincial Tourism and Cultural Office - Marinduque","N/A","CRRH+H68, Boac, Marinduque, Philippines","N/A",""
"Department of Labor and Employment - Marinduque Field Office","(042) 754 7011","FR3P+88Q, Boac, Marinduque, Philippines","N/A",""
"Department of Environment and Natural Resources (DENR) - PENRO (Marinduque)","(042) 332 1490","CRRH+RF3, Boac, Marinduque, Philippines","N/A",""
"SK Office","N/A","8X5P+H22, Boac, Marinduque, Philippines","N/A",""
"Pagibig Fund Building","N/A","CRXR+P65, Lardizabal Street, Boac, Marinduque, Philippines","N/A",""
"Marinduque National High School","(042) 311 1315","CRWQ+8R8, T. Roque St, Boac, Marinduque, Philippines","N/A",""
"St. Mary's College Of Marinduque","0919 625 7814","CRWV+5CW, Boac, Marinduque, Philippines","N/A",""
"Department of Education - SDO Marinduque","(042) 332 1009","T. Roque St, Boac, Marinduque, Philippines","N/A",""
"Marinduque State University","(042) 332 2028","Panfilo M. Manguera, Sr. Road, Boac, 4900 Marinduque, Philippines","N/A",""
"Educational System Technological Institute","(042) 332 1459","CRXP+CCQ, Boac - Gasan - Torrijos Rd, Boac, Marinduque, Philippines","N/A",""
"Don Luis Hidalgo Memorial School","N/A","CRWR+H4J, Boac, Marinduque, Philippines","N/A",""
"Ilaya National High School","N/A","CVJJ+X3P, Dr Damian Rayes Rd, Boac, Marinduque, Philippines","N/A",""
"Boac South Central School","N/A","CRQ9+7WF, Boac, Marinduque, Philippines","N/A",""
"Little Stars Pre-school","(042) 754 0010","CRWR+C86 Isok Boac (Capital, Boac, Marinduque, Philippines","N/A",""
"Everbright International Academy Marinduque Branch","0998 979 7266","Brgy, CRQC+VH8, Boac, Marinduque, Philippines","N/A",""
"Maybo Elementary School","N/A","Boac, Marinduque, Philippines","N/A",""
"Marinduque State College - Campus Director, MSC Boac","(042) 332 2863","Marinduque State College, Panfilo M. Manguera Sr. Road, Tanza, FR3W+952, Boac, 4900 Marinduque, Philippines","N/A",""
"Lord of lords Christian School","N/A","Cawit, Boac, Marinduque, Philippines","N/A",""
"Technical Education and Skills Development Authority (TESDA) - Marinduque Provincial Office","(042) 332 1540","CRXR+C27, Gov D. Reyes St, Boac, Marinduque, Philippines","N/A",""
"MSC SEng Building (part of Marinduque State University)","N/A","FR4V+5MF, Boac, Marinduque, Philippines","N/A",""
"Office of the Municipal Assessor - Muncipality of Boac","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=12276927584976717223"
"Makapuyat National High School","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=14091568730333329933"
"Marinduque Midwest College","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=5808813340526539206"
"Poras Elementary School","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=4542557542717228440"
"Bangbang National High School","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=16157720589690894897"
"MSC SEng Building","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=2003770342480729760"
"Quezon-Roxas High School","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=7589760246403176926"
"Paula Lim Lumber & Hardware","(042) 332 1129","No. 2 Nepomuceno St Barangay, Boac, 4900 Marinduque, Philippines","N/A",""
"ABC Central Hardware","0910 486 7675","CRWQ+PHF, Magsaysay Rd, Boac, 4900 Marinduque, Philippines","N/A",""
"DAVID HARDWARE","9RHM+V8F, Cawit-Tugos Barangay Rd, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"ZL & MZ Hardware and Construction Supplies","9RRG+GR3, Bunganay, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"Her-Man Hardware And construction supplies","Centro, 9RPF+WVH, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"Triple J Hardware and Sari Sari Store","FR8G+V49, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"MR.DIY","(02) 8463 0855","Barangay, Boac, 4900 Marinduque, Philippines","N/A",""
"GMJ Lumber and Hardware","0966 223 8609","Boac, Marinduque, Philippines","N/A",""
"J and B Hardware Trading","0921 339 4839","purok 2, Mainit, Boac, 4900 Marinduque, Philippines","N/A",""
"new plaza aurora commercial","(042) 332 1252","4 Deogracias St, Boac, 4900 Marinduque, Philippines","N/A",""
"R.Masculino Trading","0956 058 3670","Tabi, Boac, 4900 Marinduque, Philippines","N/A",""
"JRM BUILDERS","0918 957 2686","PUROK3, Boac, 4900 Marinduque, Philippines","N/A",""
"Bikkurim Construction Supplies Trading","Purok Tangique barangay Road, FR9G+JM3, Balogo, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"Bobar Builders","(042) 332 1497","Marinduque Circumferential Road, CRXJ+5J2, Boac City, 4900 Marinduque, Philippines","N/A",""
"Home base RJ Solar","Purok Antonio Laririt, Bangbangalon, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"Ipi","CR6F+9F9 Caganhao Bridge, Boac - Gasan - Torrijos Rd, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"SMJ GLASS ALUMINUM AND METAL WORKS","0908 812 2167","2 Tanza Barangay Rd, Boac, Marinduque, Philippines","N/A",""
"Dragonz Construction Supplies Trading","0917 800 3917","4900 Boac Byp Rd, Boac, Marinduque, Philippines","N/A",""
"JQJ CONSTRUCTION SUPPLY","FR4Q+FFJ, Tanza-Tabi Rd, Boac, Marinduque, Philippines","Boac, Marinduque","N/A",""
"Mid-Way Construction Supplies Trading","(042) 754 1482","Boac, Marinduque, Philippines","N/A",""
"Wheel-Power Auto Parts Repair Services","0917 851 3653","marcial, M. Kasilag St, Boac, 4900 Marinduque, Philippines","Car Repair and Maintenance",""
"Elmer","0926 046 4017","18 Boac - Mogpog - Santa Cruz - Torrijos Rd, Boac, Marinduque, Philippines","Car Repair and Maintenance",""
"Joaquin auto diesel repair shop","CVP8+5MF, Boac, Marinduque, Philippines","Car Repair and Maintenance","N/A",""
"HENRICH Auto Repair Shop","(042) 332 1785","Sampaguita 2, Boac, 4900 Marinduque, Philippines","Car Repair and Maintenance",""
"Red Line Car Aircon service","0919 830 4467","CRQ9+M7Q, Boac - Gasan - Torrijos Rd, Boac, Marinduque, Philippines","Car Aircon Service",""
"8 DEGREE AIRCON AND REFRIGERATION SERVICES","0968 294 0729","Boac, 4900 Marinduque, Philippines","Car Repair and Maintenance",""
"Talyer Sa Amoingon","CR2G+WC3, Boac - Gasan - Torrijos Rd, Boac, Marinduque, Philippines","Car Repair and Maintenance","N/A",""
"MMQuinto Trading and Motor Repair Shop","0938 648 7778","Zone 2, Brgy Tabi, Boac, Marinduque, Philippines","Car/Motor Repair Shop",""
"LMC MOTOR PARTS AND GEN. MDSE.","FR3Q+7GP, Tanza, Boac, Marinduque, Philippines","Auto Parts and General Merchandise","N/A",""
"Motorcycle Repair Shop","FR6P+5GW, Boac, Marinduque, Philippines","Motorcycle Repair","N/A",""
"Luisaga Motorparts","Purok dama de noche tampus, Boac, 4900 Marinduque, Philippines","Auto Parts","N/A",""
"W. Red Emission Testing","CR5F+8VM, Boac - Gasan - Torrijos Rd, Boac, Marinduque, Philippines","Emission Testing","N/A",""
"GTZ EMISSION TESTING CENTER","CR5J+C76 Brgy, Caganhao, Boac, Marinduque, Philippines","Emission Testing","N/A",""
"Jm's Bike Shop","0953 429 9232","9VFC+62Q, Boac, Marinduque, Philippines","Motorcycle Repair",""
"CTM CARWASH and DETAILING Boac Branch","0917 169 2286","13.444755, 121.829437, Boac, Marinduque, Philippines","Car Wash & Detailing",""
"Foam Stars Carwash And Detailing Services","(042) 754 5525","Boac, Marinduque, Philippines","Car Wash & Detailing",""
"Vendo Car Wash","CRP9+V8W, Boac, Marinduque, Philippines","Car Wash","N/A",""
"carwash","CRRF+JPM, Boac, Marinduque, Philippines","Car Wash","N/A",""
"Tyang’s Car Wash","CRXP+GH6, Gov D. Reyes St, Boac, Marinduque, Philippines","Car Wash","N/A",""
"Bologo Carwash and Detailing","Balogo, Boac, 4900 Marinduque, Philippines","Car Wash & Detailing","N/A",""
"AJAC Hardware Store","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=193527521864427697"
"Lagran General Merchandise and Copra Buyer","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=130409320759639720"
"Skyscraper Construction and Engineering Services","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=9428708855070524249"
"L.A. Clamor Construction","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=6364850063867623018"
"ERM Construction Supplies Trading","Check Map Link","Boac, Marinduque","N/A","https://maps.google.com/?cid=8864064571044565199"
